PCON11CD,con_pop
E14000911,102435
E14000912,76599
E14000913,78256
E14000914,71169
E14000915,67344
E14000916,67003
E14000917,82810
E14000918,74725
E14000919,120988
E14000920,73199
E14000921,81779
E14000922,73317
E14000923,73860
E14000924,80740
E14000925,75440
E14000926,87054
E14000927,92044
E14000928,80805
E14000929,96193
E14000930,100418
E14000931,79935
E14000932,86281
E14000933,77577
E14000934,90759
E14000935,85604
E14000936,76461
E14000937,94736
E14000938,73253
E14000939,87036
E14000940,84870
E14000941,89511
E14000942,92551
E14000943,78929
E14000944,66852
E14000945,79067
E14000946,77157
E14000947,83953
E14000948,78909
E14000949,88974
E14000950,71718
E14000951,84829
E14000952,86571
E14000953,80980
E14000954,81739
E14000955,86314
E14000956,87814
E14000957,71873
E14000958,73900
E14000959,76844
E14000960,78405
E14000961,86010
E14000962,78724
E14000963,81724
E14000964,70516
E14000965,79616
E14000966,63598
E14000967,73217
E14000968,75345
E14000969,69058
E14000970,71293
E14000971,80515
E14000972,68160
E14000973,76197
E14000974,68807
E14000975,70611
E14000976,71061
E14000977,77632
E14000978,97351
E14000979,76778
E14000980,84995
E14000981,84337
E14000982,82438
E14000983,85125
E14000984,78801
E14000985,72509
E14000986,75141
E14000987,68016
E14000988,94096
E14000989,75152
E14000990,88023
E14000991,83019
E14000992,76886
E14000993,83525
E14000994,69694
E14000995,96604
E14000996,83743
E14000997,82290
E14000998,85982
E14000999,80072
E14001000,83051
E14001001,70878
E14001002,107330
E14001003,78982
E14001004,82717
E14001005,89675
E14001006,79545
E14001007,86546
E14001008,103210
E14001009,79044
E14001010,70585
E14001011,75175
E14001012,78610
E14001013,89018
E14001014,66931
E14001015,96038
E14001016,72857
E14001017,75758
E14001018,87881
E14001019,82490
E14001020,68390
E14001021,91937
E14001022,83674
E14001023,87175
E14001024,71080
E14001025,87445
E14001026,85052
E14001027,92390
E14001028,76750
E14001029,70234
E14001030,71737
E14001031,80951
E14001032,147249
E14001033,77784
E14001034,91342
E14001035,78666
E14001036,108361
E14001037,69571
E14001038,88481
E14001039,83450
E14001040,76473
E14001041,79425
E14001042,81830
E14001043,58181
E14001044,54912
E14001045,73645
E14001046,87327
E14001047,80284
E14001048,86840
E14001049,68773
E14001050,71178
E14001051,68903
E14001052,78953
E14001053,63903
E14001054,78669
E14001055,80569
E14001056,82509
E14001057,74046
E14001058,80538
E14001059,80608
E14001060,88120
E14001061,94398
E14001062,77881
W07000041,56145
W07000042,55835
W07000043,67510
W07000044,55997
W07000045,65844
W07000046,63075
W07000047,68312
W07000048,65942
W07000049,55021
W07000050,78263
W07000051,71925
W07000052,54659
W07000053,66493
W07000054,70236
W07000055,63907
W07000056,70125
W07000057,50374
W07000058,48124
W07000059,59186
W07000060,57608
W07000061,50020
W07000062,56220
W07000063,51146
W07000064,59632
W07000065,63836
W07000066,62931
W07000067,59204
W07000068,56266
W07000069,60025
W07000070,56120
W07000071,60012
W07000072,55841
W07000073,68621
W07000074,61940
W07000075,65683
W07000076,69201
W07000077,60713
W07000078,82420
W07000079,72444
W07000080,92098
S14000001,82180
S14000002,79634
S14000003,68579
S14000004,69882
S14000005,72018
S14000006,75007
S14000007,73459
S14000008,78159
S14000009,49729
S14000010,70993
S14000011,76805
S14000012,70358
S14000013,78661
S14000014,71254
S14000015,73322
S14000016,72934
S14000017,83156
S14000018,67340
S14000019,84420
S14000020,87391
S14000021,74317
S14000022,94974
S14000023,99286
S14000024,75459
S14000025,87626
S14000026,81574
S14000027,22015
S14000028,90932
S14000029,91633
S14000030,77086
S14000031,68071
S14000032,72247
S14000033,71520
S14000034,73829
S14000035,70543
S14000036,70090
S14000037,83793
S14000038,62811
S14000039,86916
S14000040,78560
S14000041,79553
S14000042,80483
S14000043,94901
S14000044,89788
S14000045,74375
S14000046,78317
S14000047,74609
S14000048,76324
S14000049,70185
S14000050,86456
S14000051,36852
S14000052,76523
S14000053,69793
S14000054,81323
S14000055,58147
S14000056,84797
S14000057,76340
S14000058,76969
S14000059,70621
N06000001,75960
N06000002,80612
N06000003,94520
N06000004,70011
N06000005,71663
N06000006,79698
N06000007,82108
N06000008,78377
N06000009,85382
N06000010,78177
N06000011,89609
N06000012,87587
N06000013,73065
N06000014,79708
N06000015,85941
N06000016,73414
N06000017,97691
N06000018,70879
